"driver_race","stop_date","stop_purpose","daily_num_stops","month","day","day_index","day_of_week","fri_sat","post_policy","dangerous_days","race","day_counter","dangerous_days2","date2","stop_purpose2"
"Black","2005-01-20","Radar Triggered",166,"1",20,20,"Thursday","Another day",0,"Other day","Black",19,NA,2005-01-20,"Radar Triggered"
"Black","2005-01-20","Violation Observed",200,"1",20,20,"Thursday","Another day",0,"Other day","Black",19,NA,2005-01-20,"Violation Observed"
"Black","2005-01-21","Radar Triggered",237,"1",21,21,"Friday","Friday or Saturday",0,"Other day","Black",20,NA,2005-01-21,"Radar Triggered"
"Black","2005-01-21","Violation Observed",371,"1",21,21,"Friday","Friday or Saturday",0,"Other day","Black",20,NA,2005-01-21,"Violation Observed"
"Black","2005-01-22","Radar Triggered",219,"1",22,22,"Saturday","Friday or Saturday",0,"Other day","Black",21,NA,2005-01-22,"Radar Triggered"
"Black","2005-01-22","Violation Observed",427,"1",22,22,"Saturday","Friday or Saturday",0,"Other day","Black",21,NA,2005-01-22,"Violation Observed"
"Black","2005-01-23","Radar Triggered",191,"1",23,23,"Sunday","Another day",0,"Other day","Black",22,NA,2005-01-23,"Radar Triggered"
"Black","2005-01-23","Violation Observed",229,"1",23,23,"Sunday","Another day",0,"Other day","Black",22,NA,2005-01-23,"Violation Observed"
"Black","2005-01-24","Radar Triggered",149,"1",24,24,"Monday","Another day",0,"Other day","Black",23,NA,2005-01-24,"Radar Triggered"
"Black","2005-01-24","Violation Observed",261,"1",24,24,"Monday","Another day",0,"Other day","Black",23,NA,2005-01-24,"Violation Observed"
"Black","2005-01-25","Radar Triggered",163,"1",25,25,"Tuesday","Another day",0,"Other day","Black",24,NA,2005-01-25,"Radar Triggered"
"Black","2005-01-25","Violation Observed",273,"1",25,25,"Tuesday","Another day",0,"Other day","Black",24,NA,2005-01-25,"Violation Observed"
"Black","2005-01-26","Radar Triggered",184,"1",26,26,"Wednesday","Another day",0,"Other day","Black",25,NA,2005-01-26,"Radar Triggered"
"Black","2005-01-26","Violation Observed",311,"1",26,26,"Wednesday","Another day",0,"Other day","Black",25,NA,2005-01-26,"Violation Observed"
"Black","2005-01-27","Radar Triggered",166,"1",27,27,"Thursday","Another day",0,"Other day","Black",26,NA,2005-01-27,"Radar Triggered"
"Black","2005-01-27","Violation Observed",258,"1",27,27,"Thursday","Another day",0,"Other day","Black",26,NA,2005-01-27,"Violation Observed"
"Black","2005-01-28","Radar Triggered",192,"1",28,28,"Friday","Friday or Saturday",0,"Other day","Black",27,NA,2005-01-28,"Radar Triggered"
"Black","2005-01-28","Violation Observed",304,"1",28,28,"Friday","Friday or Saturday",0,"Other day","Black",27,NA,2005-01-28,"Violation Observed"
"Black","2005-01-29","Radar Triggered",42,"1",29,29,"Saturday","Friday or Saturday",0,"Other day","Black",28,NA,2005-01-29,"Radar Triggered"
"Black","2005-01-29","Violation Observed",155,"1",29,29,"Saturday","Friday or Saturday",0,"Other day","Black",28,NA,2005-01-29,"Violation Observed"
"Black","2005-01-30","Radar Triggered",95,"1",30,30,"Sunday","Another day",0,"Other day","Black",29,NA,2005-01-30,"Radar Triggered"
"Black","2005-01-30","Violation Observed",177,"1",30,30,"Sunday","Another day",0,"Other day","Black",29,NA,2005-01-30,"Violation Observed"
"Black","2005-01-31","Radar Triggered",111,"1",31,31,"Monday","Another day",0,"Other day","Black",30,NA,2005-01-31,"Radar Triggered"
"Black","2005-01-31","Violation Observed",169,"1",31,31,"Monday","Another day",0,"Other day","Black",30,NA,2005-01-31,"Violation Observed"
"Black","2005-02-01","Radar Triggered",144,"2",1,32,"Tuesday","Another day",0,"Other day","Black",31,NA,2005-02-01,"Radar Triggered"
"Black","2005-02-01","Violation Observed",285,"2",1,32,"Tuesday","Another day",0,"Other day","Black",31,NA,2005-02-01,"Violation Observed"
"Black","2005-02-02","Radar Triggered",124,"2",2,33,"Wednesday","Another day",0,"Other day","Black",32,NA,2005-02-02,"Radar Triggered"
"Black","2005-02-02","Violation Observed",294,"2",2,33,"Wednesday","Another day",0,"Other day","Black",32,NA,2005-02-02,"Violation Observed"
"Black","2005-02-03","Radar Triggered",77,"2",3,34,"Thursday","Another day",0,"Other day","Black",33,NA,2005-02-03,"Radar Triggered"
"Black","2005-02-03","Violation Observed",148,"2",3,34,"Thursday","Another day",0,"Other day","Black",33,NA,2005-02-03,"Violation Observed"
